point,file,gx,gxx,gxy,gxz,gy,gyy,gyz,gz,gzz,pot,ratio,size
0,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,-3.58288833002808,81.6670484340006,2.8643754035329e-14,0.562671094398584,3.86093934601206e-13,0.126985815747282,-3.51368240059102e-15,124.24484477714,-81.7940342472828,14271.3881324846,0.0,1.0
1,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,133.400118847873,184.671435128393,-6.30606677987089e-14,-38.8712490678293,-4.39648317751562e-14,-13.6930738991097,7.32747196252603e-15,138.387916133319,-170.978361216137,14278.2408123773,0.0,1.0
2,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,-653.651913534716,-820.755567272621,-3.72892827726901e-11,5361.92320570852,2.99564817396458e-11,37.2953140527229,-5.45696821063757e-11,910.070144289614,783.460223824669,14311.5542029927,0.0,1.0
3,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,-133.389015374871,115.108380664115,4.09672296086683e-14,24.3156010942929,-3.49165141244612e-14,17.7600551952253,6.92501611609941e-15,132.259806587139,-132.868435858914,14273.5628847626,0.0,1.0
4,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,-45.3551836541316,49.8475119033851,7.9658502016855e-15,3.12383922904482,-3.3584246494911e-15,7.14252227244802,6.21031004399697e-16,120.411686822363,-56.9900341756429,14263.2704427642,0.0,1.0
5,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,15.2247624884029,54.4418696457327,5.95010152260045e-16,-1.51816862836407,-1.36557432028894e-14,-3.26354242129835,3.64508770389627e-16,119.514250970931,-51.1783272234961,14261.3494710224,0.0,1.0
6,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,118.759927453345,140.40577016256,-2.11358708313014e-14,-20.2080354580075,-5.27355936696949e-15,-32.1960662351721,1.34267597040605e-15,128.413381733762,-108.209703917722,14268.6224796898,0.0,1.0
7,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,769.086112175445,-419.850090920127,-7.95807864051312e-13,-5372.0131957183,-4.9915627187147e-13,-312.186402003192,9.09494701772928e-13,885.748534625339,732.036504734459,14309.3035902189,0.0,1.0
8,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,-107.737948122848,149.005366908575,2.27595720048157e-14,44.6939819398423,-2.78388423424758e-14,86.8441962525652,2.63331023653279e-15,148.566425665499,-235.849563164915,14285.2490781158,0.0,1.0
9,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,5.09958741901073e-12,64.038055285043,1.50920942409982e-15,-3.67615660135101e-13,5.684688830776e-15,64.0380552850431,-1.46367293285543e-17,131.373078753064,-128.07611056589,14279.5480404264,0.0,1.0
10,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,-3.58288832973747,81.6670484343209,3.34123007039722e-11,0.562671094362964,-5.54786078188485e-11,0.126985815712058,4.56347286348358e-12,124.244844777153,-81.7940342473772,14271.3881324848,0.0,1.0
11,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,133.400118845783,184.671435121799,-9.30677757082776e-12,-38.8712490669504,9.83957360034537e-12,-13.6930738980561,1.33862920748129e-11,138.387916133101,-170.97836121435,14278.2408123772,0.0,1.0
12,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,-653.49976320437,-824.774814199268,17.343136147457,5356.5257547767,-0.569282267491701,45.7005676682141,17.9823473215688,909.912978401639,779.07421379621,14311.5537049827,0.0,1.0
13,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,-133.38901537409,115.108380661513,5.87903947746327e-10,24.3156010940194,-2.94483548657354e-10,17.7600551961915,6.56994181280623e-11,132.259806587081,-132.868435858384,14273.5628847627,0.0,1.0
14,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,-45.3551836543049,49.8475119036403,-1.55039314719829e-11,3.12383922906584,-6.77929934411736e-12,7.14252227241199,-7.37270487716213e-13,120.411686822377,-56.9900341757151,14263.2704427642,0.0,1.0
15,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,15.2247624884008,54.4418696457728,2.0456294644311e-11,-1.51816862836429,5.5259338771485e-12,-3.26354242131612,-5.80142054187882e-13,119.514250970931,-51.1783272235035,14261.3494710223,0.0,1.0
16,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,118.75992745308,140.405770161916,1.98771776815931e-10,-20.2080354579199,6.77286837724722e-11,-32.1960662350515,-1.49181136194221e-11,128.413381733734,-108.209703917554,14268.62247969,0.0,1.0
17,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-pole.txt,769.086112088966,-419.850091944808,-2.5183476282109e-07,-5372.0131945128,1.89061655220257e-08,-312.186402405825,3.23935324786362e-07,885.74853458238,732.036504872481,14309.3035902175,0.0,1.0
