point,gx,gxx,gxy,gxz,gy,gyy,gyz,gz,gzz,pot,size,ratio
0,3.58288833002808,82.01780677993686,2.8643754035329e-14,0.562671094398584,3.86093934601206e-13,0.47774416168354505,3.51368240059102e-15,99.54378531953517,82.49555093915532,6.6330581065085426,1.0,0.0
1,133.400118847873,185.02219347432927,6.30606677987089e-14,38.8712490678293,4.39648317751562e-14,13.342315553173437,7.32747196252603e-15,85.40071396335617,171.6798779080095,0.21962178619105543,1.0,0.0
2,653.651913534716,820.4048089266847,3.72892827726901e-11,5361.92320570852,2.99564817396458e-11,37.646072398659165,5.45696821063757e-11,686.2815141929387,782.7587071327965,33.533012401590895,1.0,0.0
3,133.389015374871,115.45913901005126,4.09672296086683e-14,24.3156010942929,3.49165141244612e-14,18.110813541161562,6.92501611609941e-15,91.52882350953618,133.56995255078652,4.458305828509765,1.0,0.0
4,45.3551836541316,50.19827024932136,7.9658502016855e-15,3.12383922904482,3.3584246494911e-15,7.493280618384283,6.21031004399697e-16,103.37694327431218,57.691550867515424,14.750747826908992,1.0,0.0
5,15.2247624884029,54.792627991668965,5.95010152260045e-16,1.51816862836407,1.36557432028894e-14,2.912784075362087,3.64508770389627e-16,104.27437912574418,51.879843915368625,16.671719568708795,1.0,0.0
6,118.759927453345,140.75652850849627,2.11358708313014e-14,20.2080354580075,5.27355936696949e-15,31.845307889235833,1.34267597040605e-15,95.37524836291317,108.91122060959452,9.398710901308732,1.0,0.0
7,769.086112175445,419.49933257419076,7.95807864051312e-13,5372.0131957183,4.9915627187147e-13,311.83564365725573,9.09494701772928e-13,661.9599045286637,731.3349880425865,31.282399627791165,1.0,0.0
8,107.737948122848,149.35612525451128,2.27595720048157e-14,44.6939819398423,2.78388423424758e-14,87.19495459850145,2.63331023653279e-15,75.22220443117618,236.5510798567875,7.227887524690232,1.0,0.0
9,5.09958741901073e-12,64.38881363097926,1.50920942409982e-15,3.67615660135101e-13,5.684688830776e-15,64.38881363097936,1.46367293285543e-17,92.41555134361118,128.7776272577625,1.5268498352907045,1.0,0.0
10,3.58288832973747,82.01780678025716,3.34123007039722e-11,0.562671094362964,5.54786078188485e-11,0.4777441616483211,4.56347286348358e-12,99.54378531952217,82.49555093924972,6.633058106308454,1.0,0.0
11,133.400118845783,185.02219346773526,9.30677757082776e-12,38.8712490669504,9.83957360034537e-12,13.342315552119837,1.33862920748129e-11,85.40071396357419,171.67987790622252,0.21962178609101102,1.0,0.0
12,653.49976320437,824.4240558533318,17.343136147457,5356.5257547767,0.569282267491701,46.05132601415036,17.9823473215688,686.1243483049637,778.3726971043375,33.53251439159067,1.0,0.0
13,133.38901537409,115.45913900744925,5.87903947746327e-10,24.3156010940194,2.94483548657354e-10,18.110813542127765,6.56994181280623e-11,91.52882350959419,133.56995255025652,4.458305828409721,1.0,0.0
14,45.3551836543049,50.19827024957657,1.55039314719829e-11,3.12383922906584,6.77929934411736e-12,7.493280618348253,7.37270487716213e-13,103.37694327429817,57.69155086758763,14.750747826908992,1.0,0.0
15,15.2247624884008,54.79262799170906,2.0456294644311e-11,1.51816862836429,5.5259338771485e-12,2.912784075379857,5.80142054187882e-13,104.27437912574418,51.87984391537603,16.67171956880884,1.0,0.0
16,118.75992745308,140.75652850785227,1.98771776815931e-10,20.2080354579199,6.77286837724722e-11,31.845307889115233,1.49181136194221e-11,95.37524836294116,108.91122060942652,9.398710901108643,1.0,0.0
17,769.086112088966,419.4993335988718,2.5183476282109e-07,5372.0131945128,1.89061655220257e-08,311.83564405988875,3.23935324786362e-07,661.9599044857048,731.3349881806085,31.282399626390543,1.0,0.0
18,107.73794812272,149.35612525361327,3.03443742355469e-10,44.6939819398892,1.66736485729402e-11,87.19495459934036,1.82657430847222e-11,75.22220443113417,236.5510798567445,7.227887524490143,1.0,0.0
19,5.05084862822969e-12,64.38881363097936,9.28250531995189e-15,3.64493157878343e-13,3.35252658967278e-14,64.38881363097936,8.15428453926348e-16,92.41555134361118,128.7776272577625,1.5268498352907045,1.0,0.0
20,3.58288832979529,82.01780678010955,3.18503834417783e-11,0.56267109436908,1.11309295114381e-11,0.4777441616423851,2.24848265006905e-12,99.54378531952918,82.49555093919902,6.633058106408498,1.0,0.0
