,gzz,height,ratio
0,82.49555093915532,2000.0,0.0
1,171.6798779080095,2000.0,0.0
2,782.7587071327965,2000.0,0.0
3,133.56995255078652,2000.0,0.0
4,57.691550867515424,2000.0,0.0
5,51.879843915368625,2000.0,0.0
6,108.91122060959452,2000.0,0.0
7,731.3349880425865,2000.0,0.0
8,236.5510798567875,2000.0,0.0
9,128.7776272577625,2000.0,0.0
10,82.49555093924972,2000.0,0.0
11,171.67987790622252,2000.0,0.0
12,778.3726971043375,2000.0,0.0
13,133.56995255025652,2000.0,0.0
14,57.69155086758763,2000.0,0.0
15,51.87984391537603,2000.0,0.0
16,108.91122060942652,2000.0,0.0
17,731.3349881806085,2000.0,0.0
18,236.5510798567445,2000.0,0.0
19,128.7776272577625,2000.0,0.0
20,82.49555093919902,2000.0,0.0
21,171.6798779081865,2000.0,0.0
22,767.1237141593886,2000.0,0.0
23,133.5699525509035,2000.0,0.0
24,57.691550867626226,2000.0,0.0
25,51.879843915365825,2000.0,0.0
26,108.91122060913953,2000.0,0.0
27,731.3349879151106,2000.0,0.0
28,236.55107985644852,2000.0,0.0
29,128.7776272577625,2000.0,0.0
30,82.49555093922153,2000.0,0.0
31,171.67987790760552,2000.0,0.0
32,754.0831503653575,2000.0,0.0
33,133.56995255091152,2000.0,0.0
34,57.69155086756993,2000.0,0.0
35,51.879843915378224,2000.0,0.0
36,108.91122060916753,2000.0,0.0
37,731.3349886222595,2000.0,0.0
38,236.5510798567445,2000.0,0.0
39,128.7776272577625,2000.0,0.0
40,82.49555093921643,2000.0,0.0
41,171.6798779082355,2000.0,0.0
42,745.4293522625585,2000.0,0.0
43,133.56995255058652,2000.0,0.0
44,57.691550867579025,2000.0,0.0
45,51.87984391535813,2000.0,0.0
46,108.91122060903153,2000.0,0.0
47,731.3349818609386,2000.0,0.0
48,236.55107985725652,2000.0,0.0
49,128.7776272577625,2000.0,0.0
50,82.49555093921643,2000.0,0.0
51,171.6798779082355,2000.0,0.0
52,745.4293522625595,2000.0,0.0
53,133.56995255058652,2000.0,0.0
54,57.691550867579025,2000.0,0.0
55,51.87984391535803,2000.0,0.0
56,108.91122060903153,2000.0,0.0
57,731.3349818609386,2000.0,0.0
58,236.55107985725652,2000.0,0.0
59,128.7776272577625,2000.0,0.0
60,82.49555093922163,2000.0,0.0
61,171.67987790760552,2000.0,0.0
62,754.0831503653565,2000.0,0.0
63,133.56995255091152,2000.0,0.0
64,57.69155086756993,2000.0,0.0
65,51.879843915378224,2000.0,0.0
66,108.91122060916753,2000.0,0.0
67,731.3349886222595,2000.0,0.0
68,236.5510798567445,2000.0,0.0
69,128.7776272577625,2000.0,0.0
70,82.49555093919892,2000.0,0.0
71,171.6798779081865,2000.0,0.0
72,767.1237141593865,2000.0,0.0
73,133.5699525509035,2000.0,0.0
74,57.691550867626226,2000.0,0.0
75,51.879843915365825,2000.0,0.0
76,108.91122060913953,2000.0,0.0
77,731.3349879151095,2000.0,0.0
78,236.55107985644852,2000.0,0.0
79,128.7776272577625,2000.0,0.0
80,82.49555093924963,2000.0,0.0
81,171.67987790622252,2000.0,0.0
82,778.3726971043375,2000.0,0.0
83,133.56995255025652,2000.0,0.0
84,57.69155086758753,2000.0,0.0
85,51.87984391537603,2000.0,0.0
86,108.91122060942652,2000.0,0.0
87,731.3349881806075,2000.0,0.0
88,236.5510798567455,2000.0,0.0
89,128.7776272577625,2000.0,0.0
90,82.49555093915532,2000.0,0.0
91,171.6798779080095,2000.0,0.0
92,782.7587071327985,2000.0,0.0
93,133.56995255078652,2000.0,0.0
94,57.691550867515424,2000.0,0.0
95,51.879843915368625,2000.0,0.0
96,108.91122060959452,2000.0,0.0
97,731.3349880425885,2000.0,0.0
98,236.5510798567875,2000.0,0.0
99,128.7776272577625,2000.0,0.0
100,82.49555093915532,2000.0,0.5
101,90.77074123865393,2000.0,0.5
102,76.06414274409228,2000.0,0.5
103,2.1789985670892063,2000.0,0.5
104,52.76586257214017,2000.0,0.5
105,54.42473703741737,2000.0,0.5
106,10.133879899656257,2000.0,0.5
107,65.96723813726668,2000.0,0.5
108,16.449241649465527,2000.0,0.5
109,128.7776272577625,2000.0,0.5
110,82.49555093924972,2000.0,0.5
111,21.48493287502813,2000.0,0.5
112,74.16310137929227,2000.0,0.5
113,6.003196294053876,2000.0,0.5
114,56.52298782666517,2000.0,0.5
115,54.31073983336767,2000.0,0.5
116,10.306983448674117,2000.0,0.5
117,65.96499092296898,2000.0,0.5
118,16.706233635296925,2000.0,0.5
119,128.7776272577625,2000.0,0.5
120,82.49555093919902,2000.0,0.5
121,13.293142580081724,2000.0,0.5
122,69.17966896341457,2000.0,0.5
123,7.856497782029776,2000.0,0.5
124,54.394999408733476,2000.0,0.5
125,54.19050819518047,2000.0,0.5
126,10.304717550431267,2000.0,0.5
127,65.95703965546167,2000.0,0.5
128,16.807677945049626,2000.0,0.5
129,128.7776272577625,2000.0,0.5
130,82.49555093922153,2000.0,0.5
131,14.588503702220628,2000.0,0.5
132,62.55393036373987,2000.0,0.5
133,10.443898726950255,2000.0,0.5
134,51.92386406289327,2000.0,0.5
135,58.180678178430774,2000.0,0.5
136,10.390632740829037,2000.0,0.5
137,65.93670449184057,2000.0,0.5
138,16.974667072729126,2000.0,0.5
139,128.7776272577625,2000.0,0.5
140,82.49555093921643,2000.0,0.5
141,18.117878066366426,2000.0,0.5
142,57.883909476380474,2000.0,0.5
143,11.952327680765226,2000.0,0.5
144,50.413717608899674,2000.0,0.5
145,58.065016220161276,2000.0,0.5
