point,gx,gxx,gxy,gxz,gy,gyy,gyz,gz,gzz,pot,size,ratio
0,5.08043841243504,3.0912431564815632,2.12052597703405e-14,0.0124230210247725,1.13686837721616e-13,0.1441516858518311,4.85722573273506e-16,113.20401439838518,3.2353948423333163,220.60955032060883,30.0,0.0
1,47.1873520087921,3.605604959272663,5.32907051820075e-15,0.119123788202355,2.8421709430404e-13,0.019605685545551088,6.52256026967279e-16,112.87914632561818,3.625210644818236,186.6332879900092,30.0,0.0
2,111.670908073604,4.434133934757282,2.04281036531029e-14,0.288924704192275,4.9737991503207e-13,0.961074683631665,1.19348975147204e-15,111.58925464376718,5.395208618389316,55.98524460570843,30.0,0.0
3,172.906610452311,1.7773716717225132,4.70734562441066e-14,0.47306244626821,1.13686837721616e-12,8.589686814039743,2.88657986402541e-15,108.93672005278317,10.367058485760747,187.17452015819072,30.0,0.0
4,76.225435111689,14.644336533101537,6.3948846218409e-14,0.226575704719103,1.93267624126747e-12,33.023426559562466,5.21804821573824e-15,105.78738295236818,18.37909002645833,435.4910998209907,30.0,0.0
5,168.622990054691,7.749176195163157,3.28626015289046e-14,0.474341559751021,1.56319401867222e-12,23.370559647318863,4.32986979603811e-15,106.95076968128518,15.621383452152525,339.8944654603911,30.0,0.0
6,182.094944873831,3.395419077164343,5.40900657597376e-13,0.478167603915266,5.79802872380242e-12,4.459870489125663,1.17683640610267e-14,110.61435630847417,7.855289566290036,21.269938543291573,30.0,0.0
7,122.721686626309,3.455908390631403,1.31006316905768e-14,0.307909964565529,3.33955085807247e-13,0.7865221393992021,8.32667268468867e-16,113.15042086480018,4.242430530030376,233.05357190840914,30.0,0.0
8,76.8170292572884,2.459536777155443,2.55351295663786e-14,0.188409573739923,3.26849658449646e-13,0.3789115969732361,4.44089209850063e-16,114.64915906899418,2.8384483741286464,397.34946205600863,30.0,0.0
9,43.7559349455908,1.937769458969593,2.77555756156289e-15,0.106107219237281,7.105427357601e-14,0.321888990830838,1.73472347597681e-16,115.51597417345418,2.2596584498004164,496.83741099711006,30.0,0.0
10,15.9804346420647,1.804858780619253,1.4432899320127e-15,0.0383758639115636,1.77635683940025e-14,0.23990867384563708,3.46944695195361e-17,115.93692965183618,2.044767454464876,546.4194396734092,30.0,0.0
11,12.1690872082567,1.982537142295563,5.13478148889135e-16,0.0299890403428829,4.08562073062058e-14,0.09003333248637008,1.87350135405495e-16,115.96092309010717,2.0725704747819265,550.0122854765086,30.0,0.0
12,46.402366821738,2.5700226453338533,6.38378239159465e-16,0.114116883097396,1.77635683940025e-14,0.1678393875014459,6.24500451351651e-17,115.53856069224418,2.4021832578323763,502.4471865442083,30.0,0.0
13,96.8578830590994,4.076597817347674,2.16493489801906e-15,0.242885805836699,7.8159700933611e-14,0.6664817035935569,1.66533453693773e-16,114.47626843236218,3.4101161137540963,386.24085525080955,30.0,0.0
14,193.98186203099,9.026003551919574,1.11022302462516e-14,0.520848634805363,1.70530256582424e-13,1.9974691401473668,4.16333634234434e-16,112.11556014094418,7.028534411771596,154.39297800430904,30.0,0.0
15,509.382019206716,37.53870597654336,1.59872115546023e-13,1.97384536034348,8.81072992342524e-13,2.204280212173657,3.77475828372553e-15,103.75712583631318,35.334425764347024,369.72188419749,30.0,0.0
16,533.600011083323,100.77106625451874,4.54747350886464e-13,5.03438866550187,5.11590769747272e-12,289.29877614093823,4.61852778244065e-14,74.83862523609517,188.5277098860485,1122.56317958599,30.0,0.0
17,227.733379766259,15.364564753400463,3.99680288865056e-14,0.771266449229601,3.41060513164848e-13,3.146326220864393,1.16573417585641e-15,106.17018605447818,18.510890974255027,384.1279766327916,30.0,0.0
18,93.4635872352075,4.600155147616723,4.88498130835069e-15,0.257246410091412,7.105427357601e-14,2.940901117517393,2.63677968348475e-16,109.73933706931518,7.5410562651346265,138.90241142729064,30.0,0.0
19,38.4696812748204,2.745044523562493,7.7715611723761e-16,0.100650885073861,2.66453525910038e-14,2.476438276679163,1.2490009027033e-16,110.91860337031818,5.221482800241646,32.88819726969086,30.0,0.0
20,1.63424829224823e-13,2.351224771903313,2.77555756156289e-17,4.16333634234434e-16,1.50990331349021e-14,2.351224771903313,6.93889390390723e-18,111.24133732773818,4.702449543806487,1.6581525601905014,30.0,0.0
21,5.48089330766706,3.1537163349722332,0.0922733590470396,0.0134577796768258,0.557186371928776,0.08738564911077307,0.00112157595202604,113.20471575085118,3.2411019840829063,220.8082805226095,30.0,0.0
22,47.7517248835684,3.688739782295113,0.133552517445938,0.120689488304387,0.358494311821715,0.0524115043648789,0.000451745512982757,112.87830288356018,3.6363282779302764,186.73855921750874,30.0,0.0
23,115.984323553323,4.919114017116554,1.12164049959632,0.301574112690541,7.67095582438154,0.5955836679588481,0.0225994602669831,111.54719103040718,5.514697685075526,52.90749193290867,30.0,0.0
24,196.885599882816,3.793465242496483,6.9939962765424,0.552858923334743,62.9723679630105,7.762511367372003,0.198609077534596,108.57832676161918,11.555976609869226,210.12555010139113,30.0,0.0
25,100.992084653355,19.703557817371337,9.15588124764064,0.325520715953596,249.479296544305,44.28417535746616,0.899179456796834,104.22538003992918,24.580617540097027,515.9826232066916,30.0,0.0
26,210.289257907417,6.472594099326017,13.357918293937,0.625916522469431,148.232298312437,25.306741715816162,0.509482382091319,106.10196389151018,18.83414761648393,386.646425391491,30.0,0.0
27,191.243188061395,4.546066405981962,2.89323433087735,0.506852451115024,19.4274925453606,3.604332068814943,0.0600709288789604,110.52238593475317,8.150398474796527,27.351004624690177,30.0,0.0
28,123.487370295746,3.595196427195383,0.256828259241606,0.310179110462285,0.126672915713812,0.6622898255050031,0.00105696659318069,113.14762271267217,4.257486252700146,232.98491118820857,30.0,0.0
29,76.7500434738231,2.4666805503650533,0.023306835820211,0.188263897033696,0.898279904004674,0.3707803148881746,0.00217309567957241,114.65111087263817,2.837460865253146,397.579524518409,30.0,0.0
30,43.6936328130913,1.934944551000443,0.0240139077855177,0.105954555187591,0.426353075122364,0.32404313504675497,0.00104493675272722,115.51687130065717,2.258987686047206,496.9390046970093,30.0,0.0
31,15.9565243098267,1.8032788036316831,0.0101141894082447,0.0383172546941973,0.150347099940927,0.2412863235210051,0.000367476329986668,115.93721664543517,2.0445651271526764,546.4521743577097,30.0,0.0
32,12.1760374035508,1.981945485402703,0.00323003860154428,0.0300059419545273,0.047098455007232,0.09056997416345808,0.000114946091933577,115.96100391307618,2.072515459566156,550.0215418009084,30.0,0.0
33,46.4022610883373,2.569644089916213,0.000230951839429713,0.11411606010943,0.0231144143555309,0.16751101619505693,5.86525301101912e-05,115.53859994772017,2.4021330737211564,502.4512330797097,30.0,0.0
34,96.8447138223221,4.074913329560003,0.00927153149570165,0.242847523726451,0.0803531751418483,0.6651500678418869,0.00022348993208892,114.47641800757017,3.409763261718036,386.25317894650834,30.0,0.0
35,193.881138544316,9.015754773726163,0.083791284048222,0.520537244216128,0.657878931797669,1.991036642341387,0.00198650936331562,112.11680919349618,7.024718131384456,154.47923508710846,30.0,0.0
36,514.383778079472,39.72750279943816,4.44550987713784,2.01724084341389,6.798117634222,3.978302720430167,0.0703765377343348,103.68847034859118,35.74920007901953,370.53132305849067,30.0,0.0
37,680.989614794957,79.21745817633435,171.490816734792,7.83242012074761,500.50306248323,306.34127423160726,8.22105468371099,68.69149243198518,227.1238160547015,1165.8592640340903,30.0,0.0
38,227.456142938958,15.330604185161963,0.384748954643442,0.770286026228254,2.02659895869729,3.168517908731483,0.00747327043473334,106.17299688611618,18.499122093889426,383.9947899616909,30.0,0.0
39,93.459924412035,4.598915293446103,0.0076345349008462,0.257233986074215,0.0226373244916473,2.942075131780323,7.56546283859766e-05,109.73935477374317,7.540990425226666,138.90141379019042,30.0,0.0
40,38.4696796750455,2.745043463458933,6.65564342372527e-06,0.100650880016654,1.00528755595519e-05,2.476439324952553,3.16934118185785e-08,110.91860337383117,5.221482788411456,32.88819704809066,30.0,0.0
41,1.45661260830821e-13,2.351224771903313,1.11022302462516e-16,3.7470027081099e-16,1.24344978758018e-14,2.351224771903313,6.93889390390723e-18,111.24133732773818,4.702449543806487,1.6581525601905014,30.0,0.0
42,6.43535983924577,3.305522530931983,0.129922591081474,0.0159352214672325,1.99338958473058,0.052584354404558886,0.00449245694426586,113.21063275962418,3.252938176527336,221.78965474460892,30.0,0.0
43,49.1211253363901,3.8924485562031133,0.185606170237088,0.124500760967182,1.74144010401608,0.23118170623298495,0.00361773275613951,112.88038756573418,3.661266849970036,187.48195478380876,30.0,0.0
44,127.090068570403,6.232454698386112,1.73842216409328,0.334425507372856,10.2004460918956,0.4110758361736139,0.0310376065224243,111.44436204621017,5.821378862212416,45.66272750910866,30.0,0.0
45,272.402941559836,11.803048390262363,14.5536561750215,0.816799247549567,110.944451880359,3.504311712931803,0.366800566101642,107.51171929119518,15.307360103189225,274.34816515478997,30.0,0.0
46,231.697068580853,43.938964788134435,40.609875390945,0.969535856781286,702.311258723387,101.83505663103325,3.1237124411692,96.85738254408118,57.89609184295923,817.7742541501902,30.0,0.0
47,370.963056008473,4.591181563707703,38.1560836847942,1.27946106874222,310.409571980132,26.582469698008662,1.18231565264369,103.10325772797317,31.173651261712127,532.8557954187909,30.0,0.0
48,215.458461959793,7.8393717665971625,4.69849358153136,0.58396065993563,28.2567949775584,1.091546788694645,0.0897170624712477,110.28720411364118,8.930918555291726,42.40549493539038,30.0,0.0
49,125.231258205013,3.940370315930623,0.32829366925611,0.315429169191756,1.049323165319,0.35128898492241245,0.00151917954459496,113.14385640594618,4.291659300852546,233.15879059701,30.0,0.0
50,76.5000046517376,2.480086653591573,0.0643317971219717,0.187692709761731,1.86393081206344,0.35372827354953523,0.00454230022518858,114.65721847131718,2.833814927141066,398.2887958901083,30.0,0.0
51,43.5068727726916,1.9259342619582431,0.0480063223901092,0.105496076520141,0.828282064394315,0.3310439401510241,0.0020321266386816,115.51951764400017,2.2569782021092664,497.23809453870854,30.0,0.0
52,15.8865642249276,1.798610781981373,0.0194829964817571,0.038145712405996,0.28767279672326,0.2453624647919411,0.000703284003910197,115.93805321265017,2.0439732467732963,546.547553388109,30.0,0.0
53,12.1962527417308,1.9802212065649731,0.00616535720734901,0.0300551059470991,0.0897237556817139,0.09213428991756711,0.00021898551881163,115.96123873277418,2.072355496482526,550.0484323642086,30.0,0.0
54,46.4019518953235,2.568543969002333,0.000440772908068737,0.114113663303778,0.0439895657057559,0.1665566539784029,0.000111628537501705,115.53871392222518,2.4019873150239164,502.4629807743095,30.0,0.0
55,96.8063138048382,4.069983000635573,0.0177551133569024,0.242735820015916,0.153364015534045,0.6612485356621469,0.000426788943304959,114.47685345513217,3.4087344649733162,386.2890260868098,30.0,0.0
56,193.576626102268,8.982611416532304,0.168722766604112,0.519582944505858,1.28533756559504,1.9694419434751471,0.0039109117522599,112.12054121339918,7.013169473056326,154.73416278720833,30.0,0.0
57,526.542795889377,45.307099285377866,6.26237010105246,2.12600819767347,6.64176096803544,8.548015180765907,0.0928984649940655,103.52388283690118,36.759084104608526,372.1731031517902,30.0,0.0
58,1231.27973674393,75.03653856796096,466.465191706697,21.1023368388392,1019.1816981664,295.52791767657027,21.2612117493058,46.04803044438617,370.5644562447055,1298.87630820119,30.0,0.0
59,226.610568718264,15.211609680201564,0.789807320560054,0.767202253491567,3.97305988491281,3.251664709336583,0.0148671055933789,106.18147143352518,18.463274389534526,383.6002374273903,30.0,0.0
60,93.4492918506114,4.595315256579884,0.0145273364133449,0.257197918779287,0.0430667624672054,2.945484047353223,0.00014393791680764,109.73940616380717,7.540799303933246,138.89851817219096,30.0,0.0
61,38.469675032316,2.745040386918263,1.26597872920353e-05,0.100650865340066,1.91217064315907e-05,2.476442367160633,6.0284456024351e-08,110.91860338402718,5.221482754078877,32.888196404990595,30.0,0.0
62,1.66977542903624e-13,2.351224771903313,5.55111512312578e-17,4.16333634234434e-16,3.90798504668055e-14,2.351224771903313,4.85722573273506e-17,111.24133732773818,4.702449543806487,1.6581525601905014,30.0,0.0
63,7.30859134857159,3.4537923677714333,0.0820603149701482,0.0182387183326263,4.70252668172688,0.19629029808890086,0.0111349194934274,113.23119429863918,3.2575020696824364,224.499824576209,30.0,0.0
64,50.4547096320076,4.095835124958823,0.109115793621655,0.12824791729461,4.6256136480064,0.41740557886267693,0.0107880956009293,112.89693720637717,3.6784295460960763,189.92160047371,30.0,0.0
65,139.444984768395,7.8281864728410735,1.38095335937158,0.371568004298295,4.05293162528828,1.6693918943443768,0.0150594695070268,111.34671562420517,6.158794578497466,39.66755211200871,30.0,0.0
66,391.460787758226,29.151776750420165,17.5840375063359,1.26881918230639,106.324271538308,7.915307028117416,0.378987775068209,105.97177124519818,21.236469722295727,357.2448157217914,30.0,0.0
67,1035.85530268481,119.77307104209174,306.72841432579,8.04746393042686,2112.20413266333,387.3235888078792,16.7637932448515,58.694591958610175,267.55051776584355,1668.115578768491,30.0,0.0
68,748.239164185372,62.324400215816766,76.3839724699039,3.17223483086185,405.671812046745,2.3298723012329567,1.84573506982267,96.90392761787018,59.994527914555924,771.6363516556903,30.0,0.0
69,243.726552694419,12.196564868506464,4.02817516121917,0.676417052583569,17.8798994092501,2.356051583551107,0.0618195847290632,110.03398348250518,9.840513284955147,57.2893305295911,30.0,0.0
