point,file,gx,gxx,gxy,gxz,gy,gyy,gyz,gz,gzz,pot,ratio,size
17,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,-227.733379766259,15.0138064074642,3.99680288865056e-14,0.771266449229601,-3.41060513164848e-13,2.79556787492813,1.16573417585641e-15,117.618444042197,-17.8093742823825,14662.1491672239,0.0,30.0
18,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,-93.4635872352075,4.24939680168046,4.88498130835069e-15,0.257246410091412,-7.105427357601e-14,2.59014277158113,2.63677968348475e-16,114.04929302736,-6.8395395732621,14416.9236020184,0.0,30.0
19,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,-38.4696812748204,2.39428617762623,7.7715611723761e-16,0.100650885073861,-2.66453525910038e-14,2.1256799307429,1.2490009027033e-16,112.870026726357,-4.51996610836912,14310.9093878608,0.0,30.0
20,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,1.63424829224823e-13,2.00046642596705,2.77555756156289e-17,-4.16333634234434e-16,-1.50990331349021e-14,2.00046642596705,6.93889390390723e-18,112.547292768937,-4.00093285193396,14279.6793431513,0.0,30.0
21,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,-5.48089330766706,2.80295798903597,-0.0922733590470396,0.0134577796768258,-0.557186371928776,-0.26337269682549,0.00112157595202604,110.583914345824,-2.53958529221038,14057.2129100685,0.0,30.0
22,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,47.7517248835684,3.33798143635885,0.133552517445938,-0.120689488304387,-0.358494311821715,-0.403169850301142,0.000451745512982757,110.910327213115,-2.93481158605775,14091.2826313736,0.0,30.0
23,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,115.984323553323,4.56835567118029,1.12164049959632,-0.301574112690541,7.67095582438154,0.244825322022585,-0.0225994602669831,112.241439066268,-4.813180993203,14225.1136986582,0.0,30.0
24,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,196.885599882816,3.44270689656022,6.9939962765424,-0.552858923334743,62.9723679630105,7.41175302143574,-0.198609077534596,115.210303335056,-10.8544599179967,14488.1467406925,0.0,30.0
25,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,100.992084653355,-20.0543161633076,9.15588124764064,-0.325520715953596,249.479296544305,43.9334170115299,-0.899179456796834,119.563250056746,-23.8791008482245,14794.0038137978,0.0,30.0
26,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,-210.289257907417,-6.82335244526228,-13.357918293937,0.625916522469431,148.232298312437,24.9559833698799,-0.509482382091319,117.686666205165,-18.1326309246114,14664.6676159826,0.0,30.0
