point,file,gx,gxx,gxy,gxz,gy,gyy,gyz,gz,gzz,pot,ratio,size
10,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,4.60976675126061e-15,95.7893137768182,-4.25498474007852e-14,2.3371228194139e-15,29.5383723219914,-4.37392485101609,-3.52415857921549,125.730003531643,-91.4153889258821,14274.798372479,0.0,1.0
11,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,123.672994118821,87.8920974859617,194.081687170275,-26.9260910284807,123.671555948951,87.8888967293075,-26.9258288396202,138.924770539527,-175.780994224319,14282.403683187,0.0,1.0
12,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,-60.3709757290732,-357.760448893017,-119.375613403742,16.6389138893678,386.077510648338,753.188948816267,-147.644520950965,174.39837023278,-395.428499900272,14293.6715798119,0.0,1.0
13,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,-137.136134066246,92.8483920177546,-137.418657100842,20.1835527518055,81.6118381983028,39.2147561489004,-15.3490400105221,132.069276908978,-132.063148165781,14275.2191275734,0.0,1.0
14,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,-38.006261030345,64.5944740787372,-16.0413903220354,2.911316679821,9.08906478807273,-4.89479722505022,-1.14690334276513,120.832582351561,-59.6996768528768,14264.8044290745,0.0,1.0
15,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,38.0020787971711,64.5952803597586,16.0370169670033,-2.91116459728899,9.08676633317615,-4.89620948681123,-1.14672104883199,120.832488536927,-59.6990708730944,14264.8041612296,0.0,1.0
16,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,137.138090461158,92.8629769550143,137.412829814287,-20.184902159539,81.6014724880494,39.2009543007859,-15.3482859567925,132.069408060611,-132.063931259529,14275.2185615654,0.0,1.0
17,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,60.3846932725073,-357.817002054508,119.419426430765,-16.6465701089133,386.106317399871,753.302819512629,-147.680105614618,174.407967714229,-395.485817541603,14293.6727715423,0.0,1.0
18,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,-123.684704909629,87.90868359963,-194.096589209136,26.9304935116658,123.663002314947,87.8823125278905,-26.9275573354468,138.926366037217,-175.790996125599,14282.4035367664,0.0,1.0
19,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,-0.00271165134446109,95.7930578476436,-0.00723381855674131,0.000170033091208741,29.5235555172218,-4.3783188458714,-3.52312410587536,125.729901181013,-91.4147389999957,14274.7975072147,0.0,1.0
