difference,field,height,ratio,shell,size,tesseroid
0.0003066898688626196,gxx,100000,6,-15.787277026647663,0.1,-15.7869703367788
-0.0002773008668768284,gxx,250000,6,-14.689691007842423,0.1,-14.6899683087093
1.035616037370346e-11,gxx,500000,6,-13.070256879250856,0.1,-13.0702568792405
0.08186333168746884,gxx,1,7,-16.57849600870437,0.1,-16.4966326770169
0.00033480906634153484,gxx,100,7,-16.577687598282143,0.1,-16.5773527892158
9.322832478630971e-05,gxx,1000,7,-16.570340753400586,0.1,-16.5702475250758
0.0002964423560172236,gxx,10000,7,-16.497103666466117,0.1,-16.4968072241101
0.0003540271190640709,gxx,100000,7,-15.787277026647663,0.1,-15.7869229995286
2.9097959822976804e-05,gxx,250000,7,-14.689691007842423,0.1,-14.6896619098826
1.035616037370346e-11,gxx,500000,7,-13.070256879250856,0.1,-13.0702568792405
0.19152164838536834,gxx,1,8,-16.57849600870437,0.1,-16.386974360319
0.00017419914764360556,gxx,100,8,-16.577687598282143,0.1,-16.5775133991345
4.7270853585246186e-05,gxx,1000,8,-16.570340753400586,0.1,-16.570293482547
7.293390111584586e-05,gxx,10000,8,-16.497103666466117,0.1,-16.497030732565
0.0002440016101630249,gxx,100000,8,-15.787277026647663,0.1,-15.7870330250375
8.671393472425848e-05,gxx,250000,8,-14.689691007842423,0.1,-14.6896042939077
1.035616037370346e-11,gxx,500000,8,-13.070256879250856,0.1,-13.0702568792405
656.5041653900944,gxx,1,0,-16.57849600870437,1.0,639.92566938139
651.7568615142102,gxx,100,0,-16.577687598282143,1.0,635.179173915928
608.5444030102556,gxx,1000,0,-16.570340753400586,1.0,591.974062256855
232.95355126010912,gxx,10000,0,-16.497103666466117,1.0,216.456447593643
-1.8184189931143369,gxx,100000,0,-15.787277026647663,1.0,-17.605696019762
-0.00044911287217708207,gxx,250000,0,-14.689691007842423,1.0,-14.6901401207146
-5.040448058934999e-10,gxx,500000,0,-13.070256879250856,1.0,-13.0702568797549
-28.895949150097728,gxx,1,1,-16.57849600870437,1.0,-45.4744451588021
-13.186897108555058,gxx,100,1,-16.577687598282143,1.0,-29.7645847068372
-9.662165289423015,gxx,1000,1,-16.570340753400586,1.0,-26.2325060428236
-8.828106714836782,gxx,10000,1,-16.497103666466117,1.0,-25.3252103813029
-1.8184189931143369,gxx,100000,1,-15.787277026647663,1.0,-17.605696019762
-0.00044911287217708207,gxx,250000,1,-14.689691007842423,1.0,-14.6901401207146
-5.040448058934999e-10,gxx,500000,1,-13.070256879250856,1.0,-13.0702568797549
-0.17135405408492943,gxx,1,2,-16.57849600870437,1.0,-16.7498500627893
-0.059134953731458495,gxx,100,2,-16.577687598282143,1.0,-16.6368225520136
-0.00747384492601455,gxx,1000,2,-16.570340753400586,1.0,-16.5778145983266
0.02235243257231545,gxx,10000,2,-16.497103666466117,1.0,-16.4747512338938
0.004169579052362593,gxx,100000,2,-15.787277026647663,1.0,-15.7831074475953
-0.00044911287217708207,gxx,250000,2,-14.689691007842423,1.0,-14.6901401207146
-5.040448058934999e-10,gxx,500000,2,-13.070256879250856,1.0,-13.0702568797549
0.0764781097783711,gxx,1,3,-16.57849600870437,1.0,-16.502017898926
0.009955048507041653,gxx,100,3,-16.577687598282143,1.0,-16.5677325497751
0.020216299133686277,gxx,1000,3,-16.570340753400586,1.0,-16.5501244542669
0.020867222837615884,gxx,10000,3,-16.497103666466117,1.0,-16.4762364436285
0.008945541427262782,gxx,100000,3,-15.787277026647663,1.0,-15.7783314852204
-0.0015580751476758081,gxx,250000,3,-14.689691007842423,1.0,-14.6912490829901
-5.040448058934999e-10,gxx,500000,3,-13.070256879250856,1.0,-13.0702568797549
0.09306279350986912,gxx,1,4,-16.57849600870437,1.0,-16.4854332151945
0.006614677769441357,gxx,100,4,-16.577687598282143,1.0,-16.5710729205127
0.0033636658987852286,gxx,1000,4,-16.570340753400586,1.0,-16.5669770875018
0.0015289559709152911,gxx,10000,4,-16.497103666466117,1.0,-16.4955747104952
0.0017397317641627552,gxx,100000,4,-15.787277026647663,1.0,-15.7855372948835
0.001601971277523262,gxx,250000,4,-14.689691007842423,1.0,-14.6880890365649
-5.040448058934999e-10,gxx,500000,4,-13.070256879250856,1.0,-13.0702568797549
0.0185170586433685,gxx,1,5,-16.57849600870437,1.0,-16.559978950061
0.0021086566734425105,gxx,100,5,-16.577687598282143,1.0,-16.5755789416087
0.0014906244778849498,gxx,1000,5,-16.570340753400586,1.0,-16.5688501289227
0.0011105247520184491,gxx,10000,5,-16.497103666466117,1.0,-16.4959931417141
0.00034987941376307674,gxx,100000,5,-15.787277026647663,1.0,-15.7869271472339
0.0001614069168240917,gxx,250000,5,-14.689691007842423,1.0,-14.6895296009256
-0.00037329820944442815,gxx,500000,5,-13.070256879250856,1.0,-13.0706301774603
-0.0007434294746282433,gxx,1,6,-16.57849600870437,1.0,-16.579239438179
0.0003846011989416809,gxx,100,6,-16.577687598282143,1.0,-16.5773029970832
0.0005002296301874765,gxx,1000,6,-16.570340753400586,1.0,-16.5698405237704
0.0004701589719182664,gxx,10000,6,-16.497103666466117,1.0,-16.4966335074942
0.0002844734660634174,gxx,100000,6,-15.787277026647663,1.0,-15.7869925531816
0.00010320905572314132,gxx,250000,6,-14.689691007842423,1.0,-14.6895877987867
1.680355945588019e-05,gxx,500000,6,-13.070256879250856,1.0,-13.0702400756914
-0.029586541054229087,gxx,1,7,-16.57849600870437,1.0,-16.6080825497586
0.0004834750086430972,gxx,100,7,-16.577687598282143,1.0,-16.5772041232735
0.0001866379294845899,gxx,1000,7,-16.570340753400586,1.0,-16.5701541154711
0.00012215655381808688,gxx,10000,7,-16.497103666466117,1.0,-16.4969815099123
0.00024756729386332665,gxx,100000,7,-15.787277026647663,1.0,-15.7870294593538
0.0001563760072240683,gxx,250000,7,-14.689691007842423,1.0,-14.6895346318352
7.450961945565382e-05,gxx,500000,7,-13.070256879250856,1.0,-13.0701823696314
-0.02171065754133039,gxx,1,8,-16.57849600870437,1.0,-16.6002066662457
0.00016260648734345295,gxx,100,8,-16.577687598282143,1.0,-16.5775249917948
0.0001645154063858456,gxx,1000,8,-16.570340753400586,1.0,-16.5701762379942
3.287846531563332e-05,gxx,10000,8,-16.497103666466117,1.0,-16.4970707880008
8.307063736268105e-05,gxx,100000,8,-15.787277026647663,1.0,-15.7871939560103
0.00010818823402303224,gxx,250000,8,-14.689691007842423,1.0,-14.6895828196084
5.631674015660337e-05,gxx,500000,8,-13.070256879250856,1.0,-13.0702005625107
350.60894095164633,gxx,1,0,-16.57849600870437,5.0,334.030444942942
350.3774071849131,gxx,100,0,-16.577687598282143,5.0,333.799719586631
348.24277440536355,gxx,1000,0,-16.570340753400586,5.0,331.672433651963
324.2097532248321,gxx,10000,0,-16.497103666466117,5.0,307.712649558366
58.19480059623147,gxx,100000,0,-15.787277026647663,5.0,42.4075235695838
