point,file,gx,gxx,gxy,gxz,gy,gyy,gyz,gz,gzz,pot,ratio,size
14,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,-0.00402546021037726,-0.311142791692059,-1.45955836443502e-15,0.000784012696925069,-1.70954694627898e-14,-0.310793631797293,1.52671928918546e-15,206.7242127021,0.621936423489689,13723.0805105146,0.0,1.0
15,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,-0.00356470896203283,-0.310977880912199,6.89968263119646e-16,0.000726249061172792,3.44142574680573e-14,-0.310725289740029,-3.88954988280333e-15,206.723241760356,0.621703170652887,13723.0800197065,0.0,1.0
16,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,-0.00289732157341099,-0.310822152121457,2.0465374796848e-17,0.000610197724978508,-5.56403068150552e-15,-0.31066604069534,-9.48253384451189e-16,206.722381711838,0.621488192817334,13723.0796016401,0.0,1.0
17,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,-0.00204700265245412,-0.310694326864166,-1.46184334168936e-16,0.000440973383312812,6.87278467643992e-15,-0.310620172724788,-1.97748650679168e-15,206.721704789284,0.621314499589466,13723.0792816432,0.0,1.0
18,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,-0.00106001870748882,-0.310610436571784,-4.23822676037583e-16,0.000231365210076739,5.52592097514265e-15,-0.310591149895097,1.3048695018383e-15,206.721271643802,0.621201586466992,13723.0790805075,0.0,1.0
19,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,1.41325319502617e-13,-0.310581216822467,-2.00962801900819e-17,-6.24251084851979e-15,9.04387242178784e-16,-0.310581216822467,-3.3545384623291e-16,206.721122560552,0.621162433645207,13723.0790118748,0.0,1.0
20,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,-0.00408750407004222,-0.311596994412214,-8.61127575496612e-17,0.000586304489192678,-2.92497417345855e-14,-0.311071822093707,1.06167279015443e-15,206.727910141101,0.622668816506539,13723.0826995846,0.0,1.0
21,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,-0.004271060121102,-0.311530790245931,-2.88554796613741e-16,0.00067210255698937,-1.76647840235619e-14,-0.311008686376178,3.51583047614526e-16,206.727107647466,0.622539476622567,13723.0821606882,0.0,1.0
22,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,-0.00434952627593692,-0.311430828267327,4.17873235730077e-16,0.000744281332085863,-1.04918515281965e-14,-0.31093936387539,2.06404988586928e-17,206.72620204903,0.622370192142996,13723.0816044609,0.0,1.0
23,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,-0.00427986075938985,-0.311298641258747,8.59369188037671e-16,0.00078658866766304,-1.57352158646623e-14,-0.310866453754171,4.5919688949729e-16,206.725221026503,0.622165095013369,13723.0810472223,0.0,1.0
24,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,-0.00402546021041805,-0.311142791692061,-1.12992225812121e-15,0.000784012696925938,-1.75557946001728e-14,-0.310793631797287,-1.3393911766366e-15,206.724212702099,0.621936423489686,13723.0805105147,0.0,1.0
25,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,-0.00356470896203849,-0.310977880912198,-1.3818008457562e-16,0.00072624906117322,5.30643779785012e-15,-0.310725289740027,-1.95808606416777e-16,206.723241760354,0.621703170652879,13723.0800197066,0.0,1.0
26,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,-0.00289732157338317,-0.310822152121456,-1.12226105687153e-15,0.000610197724978962,2.32282319463997e-14,-0.310666040695341,-2.97751562717673e-15,206.722381711838,0.621488192817336,13723.0796016401,0.0,1.0
27,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,-0.00204700265240999,-0.310694326864166,-6.04421535336987e-17,0.000440973383309412,5.16802312749975e-14,-0.310620172724788,-6.6211837038534e-15,206.721704789284,0.621314499589472,13723.0792816431,0.0,1.0
28,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,-0.00106001870749703,-0.310610436571786,4.54943513552653e-16,0.000231365210074219,-3.3135820476371e-14,-0.310591149895097,3.36449109945933e-15,206.721271643802,0.621201586466995,13723.0790805075,0.0,1.0
29,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,1.34865209278079e-13,-0.310581216822466,-2.65532123470014e-17,-6.24771501894772e-15,-1.60906173368031e-14,-0.310581216822467,-3.17503524014696e-16,206.721122560552,0.621162433645207,13723.0790118748,0.0,1.0
30,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,-0.00408750407001553,-0.311596994412215,6.23968302902538e-16,0.000586304489191956,2.56940193947564e-14,-0.311071822093711,-5.71376238965755e-16,206.727910141101,0.622668816506537,13723.0826995845,0.0,1.0
